title,price,rating,availability,category,price_gbp,in_stock,price_inr
A Light in the Attic,,3,In stock,Home,51.77,True,5461.735000000001
Tipping the Velvet,,1,In stock,Home,53.74,True,5669.570000000001
Soumission,,1,In stock,Home,50.1,True,5285.55
Sharp Objects,,4,In stock,Home,47.82,True,5045.01
Sapiens: A Brief History of Humankind,,5,In stock,Home,54.23,True,5721.264999999999
The Requiem Red,,1,In stock,Home,22.65,True,2389.575
The Dirty Little Secrets of Getting Your Dream Job,,4,In stock,Home,33.34,True,3517.3700000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",,3,In stock,Home,17.93,True,1891.615
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,,4,In stock,Home,22.6,True,2384.3
The Black Maria,,1,In stock,Home,52.15,True,5501.825
"Starving Hearts (Triangular Trade Trilogy, #1)",,2,In stock,Home,13.99,True,1475.945
Shakespeare's Sonnets,,4,In stock,Home,20.66,True,2179.63
Set Me Free,,5,In stock,Home,17.46,True,1842.03
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,5,In stock,Home,52.29,True,5516.595
Rip it Up and Start Again,,5,In stock,Home,35.02,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",,3,In stock,Home,57.25,True,6039.875
Olio,,1,In stock,Home,23.88,True,2519.34
Mesaerion: The Best Science Fiction Stories 1800-1849,,1,In stock,Home,37.59,True,3965.745
Libertarianism for Beginners,,2,In stock,Home,51.33,True,5415.315
It's Only the Himalayas,,2,In stock,Home,45.17,True,4765.435
In Her Wake,,1,In stock,Home,12.84,True,1354.62
How Music Works,,2,In stock,Home,37.32,True,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",,3,In stock,Home,30.52,True,3219.86
Chase Me (Paris Nights #2),,5,In stock,Home,25.27,True,2665.985
Black Dust,,5,In stock,Home,34.53,True,3642.915
Birdsong: A Story in Pictures,,3,In stock,Home,54.64,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,,3,In stock,Home,22.5,True,2373.75
Aladdin and His Wonderful Lamp,,3,In stock,Home,53.13,True,5605.215
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,,5,In stock,Home,40.3,True,4251.65
Wall and Piece,,4,In stock,Home,44.18,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,,5,In stock,Home,17.66,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,,3,In stock,Home,31.05,True,3275.775
The Elephant Tree,,5,In stock,Home,23.82,True,2513.01
The Bear and the Piano,,1,In stock,Home,36.89,True,3891.895
Sophie's World,,5,In stock,Home,15.94,True,1681.6699999999998
Penny Maybe,,3,In stock,Home,33.29,True,3512.095
Maude (1883-1993):She Grew Up with the country,,2,In stock,Home,18.02,True,1901.11
"In a Dark, Dark Wood",,1,In stock,Home,19.63,True,2070.965
Behind Closed Doors,,4,In stock,Home,52.22,True,5509.21
You can't bury them all: Poems,,2,In stock,Home,33.63,True,3547.965
Slow States of Collapse: Poems,,3,In stock,Home,57.31,True,6046.205
Reasons to Stay Alive,,2,In stock,Home,26.41,True,2786.255
Private Paris (Private #10),,5,In stock,Home,47.61,True,5022.855
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,,5,In stock,Home,23.11,True,2438.105
Without Borders (Wanderlove #1),,2,In stock,Home,45.07,True,4754.885
When We Collided,,1,In stock,Home,31.77,True,3351.735
"We Love You, Charlie Freeman",,5,In stock,Home,50.27,True,5303.485000000001
Untitled Collection: Sabbath Poems 2014,,4,In stock,Home,14.27,True,1505.485
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",,4,In stock,Home,44.18,True,4660.99
Unicorn Tracks,,3,In stock,Home,18.78,True,1981.29
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",,1,In stock,Home,25.52,True,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),,1,In stock,Home,16.28,True,1717.5400000000002
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,,3,In stock,Home,31.12,True,3283.1600000000003
This One Summer,,4,In stock,Home,19.49,True,2056.195
Thirst,,5,In stock,Home,17.27,True,1821.985
The Torch Is Passed: A Harding Family Story,,1,In stock,Home,19.09,True,2013.995
The Secret of Dreadwillow Carse,,1,In stock,Home,56.13,True,5921.715
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",,1,In stock,Home,56.41,True,5951.254999999999
The Past Never Ends,,4,In stock,Home,56.5,True,5960.75
The Natural History of Us (The Fine Art of Pretending #2),,3,In stock,Home,45.22,True,4770.71
The Nameless City (The Nameless City #1),,4,In stock,Home,38.16,True,4025.88
The Murder That Never Was (Forensic Instincts #5),,3,In stock,Home,54.11,True,5708.605
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,,4,In stock,Home,42.96,True,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",,4,In stock,Home,23.89,True,2520.395
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,3,In stock,Home,16.77,True,1769.235
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",,5,In stock,Home,20.59,True,2172.245
The Gutsy Girl: Escapades for Your Life of Epic Adventure,,1,In stock,Home,37.13,True,3917.215
The Electric Pencil: Drawings from Inside State Hospital No. 3,,1,In stock,Home,56.06,True,5914.33
The Death of Humanity: and the Case for Life,,4,In stock,Home,58.11,True,6130.605
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",,3,In stock,Home,49.05,True,5174.775
The Art Forger,,3,In stock,Home,40.76,True,4300.179999999999
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,,1,In stock,Home,19.73,True,2081.515
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,,5,In stock,Home,32.24,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,,4,In stock,Home,41.83,True,4413.065
Soul Reader,,2,In stock,Home,39.58,True,4175.69
Security,,2,In stock,Home,39.25,True,4140.875
"Saga, Volume 6 (Saga (Collected Editions) #6)",,3,In stock,Home,25.02,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",,2,In stock,Home,51.04,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,,2,In stock,Home,19.83,True,2092.065
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",,3,In stock,Home,50.4,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",,5,In stock,Home,13.61,True,1435.855
Princess Between Worlds (Wide-Awake Princess #5),,5,In stock,Home,13.34,True,1407.37
"Pop Gun War, Volume 1: Gift",,1,In stock,Home,18.97,True,2001.335
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",,2,In stock,Home,36.28,True,3827.54
Patience,,3,In stock,Home,10.16,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",,4,In stock,Home,15.44,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),,1,In stock,Home,48.41,True,5107.254999999999
Online Marketing for Busy Authors: A Step-By-Step Guide,,1,In stock,Home,46.35,True,4889.925
On a Midnight Clear,,3,In stock,Home,14.07,True,1484.385
Obsidian (Lux #1),,2,In stock,Home,14.86,True,1567.73
My Paris Kitchen: Recipes and Stories,,2,In stock,Home,33.37,True,3520.535
Masks and Shadows,,2,In stock,Home,56.4,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",,4,In stock,Home,14.02,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",,2,In stock,Home,46.91,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",,3,In stock,Home,45.61,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),,2,In stock,Home,19.92,True,2101.5600000000004
"Layered: Baking, Building, and Styling Spectacular Cakes",,1,In stock,Home,40.11,True,4231.605
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),,2,In stock,Home,53.9,True,5686.45
Join,,5,In stock,Home,35.67,True,3763.185
In the Country We Love: My Family Divided,,4,In stock,Home,22.0,True,2321.0
