title,price_inr,rating
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3219.86,3
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3275.775,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3283.1600000000003,3
When We Collided,3351.735,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,3401.32,5
Penny Maybe,3512.095,3
The Dirty Little Secrets of Getting Your Dream Job,3517.3700000000003,4
My Paris Kitchen: Recipes and Stories,3520.535,2
You can't bury them all: Poems,3547.965,2
Black Dust,3642.915,5
Rip it Up and Start Again,3694.61,5
Join,3763.185,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3827.54,2
The Bear and the Piano,3891.895,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,3917.215,1
How Music Works,3937.26,2
Mesaerion: The Best Science Fiction Stories 1800-1849,3965.745,1
The Nameless City (The Nameless City #1),4025.88,4
Security,4140.875,2
Soul Reader,4175.69,2
"Layered: Baking, Building, and Styling Spectacular Cakes",4231.605,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,4251.65,5
The Art Forger,4300.179999999999,3
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4413.065,4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4532.28,4
Wall and Piece,4660.99,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4660.99,4
Without Borders (Wanderlove #1),4754.885,2
It's Only the Himalayas,4765.435,2
The Natural History of Us (The Fine Art of Pretending #2),4770.71,3
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4811.855,3
Online Marketing for Busy Authors: A Step-By-Step Guide,4889.925,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4949.004999999999,2
