title,price_inr,rating,category_name
The Death of Humanity: and the Case for Life,6130.605,4,Philosophy
Slow States of Collapse: Poems,6046.205,3,Poetry
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",6039.875,3,Music
The Past Never Ends,5960.75,4,Mystery
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",5951.254999999999,1,Food and Drink
Masks and Shadows,5950.2,2,Fantasy
The Secret of Dreadwillow Carse,5921.715,1,Childrens
The Electric Pencil: Drawings from Inside State Hospital No. 3,5914.33,1,Nonfiction
Birdsong: A Story in Pictures,5764.52,3,Childrens
Sapiens: A Brief History of Humankind,5721.264999999999,5,History
